"StichtagDatJahr","DatenstandCd","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl1Sort","EigentuemerSSZPubl1Cd","EigentuemerSSZPubl1Lang","AnzNeubauWhg_noDM","AnzAbbruchWhg_noDM"
2009,"D",119,"06304","Culmannstrasse",63,"063","Oberstrass",6,"6","Kreis 6",4,"4","Natürliche Personen",0,
2009,"D",120,"06305","Bolleystrasse",63,"063","Oberstrass",6,"6","Kreis 6",1,"1","Öffentliche Hand",,2
2009,"D",121,"06306","Rigiviertel",63,"063","Oberstrass",6,"6","Kreis 6",4,"4","Natürliche Personen",,
2009,"D",121,"06306","Rigiviertel",63,"063","Oberstrass",6,"6","Kreis 6",5,"5","Im Stockwerkeigentum",3,
2009,"D",122,"06307","Rigiblick",63,"063","Oberstrass",6,"6","Kreis 6",4,"4","Natürliche Personen",0,
2009,"D",125,"07101","Susenberg",71,"071","Fluntern",7,"7","Kreis 7",4,"4","Natürliche Personen",,3
2009,"D",126,"07102","Keltenstrasse",71,"071","Fluntern",7,"7","Kreis 7",3,"3","Übrige private Gesellschaften",,
2009,"D",126,"07102","Keltenstrasse",71,"071","Fluntern",7,"7","Kreis 7",4,"4","Natürliche Personen",0,
2009,"D",127,"07103","Toblerstrasse",71,"071","Fluntern",7,"7","Kreis 7",3,"3","Übrige private Gesellschaften",,4
2009,"D",128,"07104","Hochstrasse",71,"071","Fluntern",7,"7","Kreis 7",3,"3","Übrige private Gesellschaften",,1
2009,"D",129,"07105","Platte",71,"071","Fluntern",7,"7","Kreis 7",5,"5","Im Stockwerkeigentum",7,
2009,"D",132,"07201","Dolder",72,"072","Hottingen",7,"7","Kreis 7",3,"3","Übrige private Gesellschaften",4,
2009,"D",132,"07201","Dolder",72,"072","Hottingen",7,"7","Kreis 7",5,"5","Im Stockwerkeigentum",4,
2009,"D",133,"07202","Sonnenberg",72,"072","Hottingen",7,"7","Kreis 7",4,"4","Natürliche Personen",2,2
2009,"D",134,"07203","Doldertal",72,"072","Hottingen",7,"7","Kreis 7",4,"4","Natürliche Personen",0,2
2009,"D",135,"07204","Kantonsschule",72,"072","Hottingen",7,"7","Kreis 7",3,"3","Übrige private Gesellschaften",0,
2009,"D",136,"07205","Merkurplatz",72,"072","Hottingen",7,"7","Kreis 7",3,"3","Übrige private Gesellschaften",57,
2009,"D",140,"07301","Degenried",73,"073","Hirslanden",7,"7","Kreis 7",4,"4","Natürliche Personen",1,
2009,"D",141,"07302","Klus",73,"073","Hirslanden",7,"7","Kreis 7",4,"4","Natürliche Personen",,10
2009,"D",142,"07303","Hegibach",73,"073","Hirslanden",7,"7","Kreis 7",4,"4","Natürliche Personen",,3
2009,"D",145,"07402","Carl Spitteler-Strasse",74,"074","Witikon",7,"7","Kreis 7",3,"3","Übrige private Gesellschaften",0,
2009,"D",145,"07402","Carl Spitteler-Strasse",74,"074","Witikon",7,"7","Kreis 7",4,"4","Natürliche Personen",28,
2009,"D",146,"07403","Eierbrecht",74,"074","Witikon",7,"7","Kreis 7",4,"4","Natürliche Personen",3,
2009,"D",146,"07403","Eierbrecht",74,"074","Witikon",7,"7","Kreis 7",5,"5","Im Stockwerkeigentum",3,
2009,"D",154,"08102","Bellerive",81,"081","Seefeld",8,"8","Kreis 8",3,"3","Übrige private Gesellschaften",15,
2009,"D",154,"08102","Bellerive",81,"081","Seefeld",8,"8","Kreis 8",4,"4","Natürliche Personen",,6
2009,"D",155,"08103","Tiefenbrunnen",81,"081","Seefeld",8,"8","Kreis 8",3,"3","Übrige private Gesellschaften",0,14
2009,"D",155,"08103","Tiefenbrunnen",81,"081","Seefeld",8,"8","Kreis 8",4,"4","Natürliche Personen",5,
2009,"D",158,"08201","Kreuzstrasse",82,"082","Mühlebach",8,"8","Kreis 8",3,"3","Übrige private Gesellschaften",25,
2009,"D",158,"08201","Kreuzstrasse",82,"082","Mühlebach",8,"8","Kreis 8",4,"4","Natürliche Personen",,3
2009,"D",160,"08203","Wildbachstrasse",82,"082","Mühlebach",8,"8","Kreis 8",4,"4","Natürliche Personen",64,1
2009,"D",165,"08303","Burghölzli",83,"083","Weinegg",8,"8","Kreis 8",3,"3","Übrige private Gesellschaften",0,
2009,"D",165,"08303","Burghölzli",83,"083","Weinegg",8,"8","Kreis 8",4,"4","Natürliche Personen",2,
2009,"D",169,"09101","Brünneliacker",91,"091","Albisrieden",9,"9","Kreis 9",1,"1","Öffentliche Hand",,
2009,"D",170,"09102","In den Rütenen",91,"091","Albisrieden",9,"9","Kreis 9",4,"4","Natürliche Personen",13,
2009,"D",170,"09102","In den Rütenen",91,"091","Albisrieden",9,"9","Kreis 9",5,"5","Im Stockwerkeigentum",13,
2009,"D",171,"09103","Bockhornstrasse",91,"091","Albisrieden",9,"9","Kreis 9",4,"4","Natürliche Personen",2,
2009,"D",172,"09104","Zollfreilager",91,"091","Albisrieden",9,"9","Kreis 9",1,"1","Öffentliche Hand",50,
2009,"D",172,"09104","Zollfreilager",91,"091","Albisrieden",9,"9","Kreis 9",3,"3","Übrige private Gesellschaften",,
2009,"D",173,"09105","In der Ey",91,"091","Albisrieden",9,"9","Kreis 9",2,"2","Wohnbaugenossenschaften",23,
2009,"D",173,"09105","In der Ey",91,"091","Albisrieden",9,"9","Kreis 9",4,"4","Natürliche Personen",24,
2009,"D",174,"09106","Mühlezelgstrasse",91,"091","Albisrieden",9,"9","Kreis 9",5,"5","Im Stockwerkeigentum",4,
2009,"D",175,"09107","Letzigraben",91,"091","Albisrieden",9,"9","Kreis 9",3,"3","Übrige private Gesellschaften",99,
2009,"D",175,"09107","Letzigraben",91,"091","Albisrieden",9,"9","Kreis 9",4,"4","Natürliche Personen",0,
2009,"D",180,"09202","Loogarten",92,"092","Altstetten",9,"9","Kreis 9",2,"2","Wohnbaugenossenschaften",,34
2009,"D",181,"09203","Eichbühl",92,"092","Altstetten",9,"9","Kreis 9",3,"3","Übrige private Gesellschaften",,1
2009,"D",181,"09203","Eichbühl",92,"092","Altstetten",9,"9","Kreis 9",4,"4","Natürliche Personen",0,
2009,"D",182,"09204","Buchlern",92,"092","Altstetten",9,"9","Kreis 9",3,"3","Übrige private Gesellschaften",,9
2009,"D",182,"09204","Buchlern",92,"092","Altstetten",9,"9","Kreis 9",4,"4","Natürliche Personen",,1
2009,"D",183,"09205","Dachslern",92,"092","Altstetten",9,"9","Kreis 9",1,"1","Öffentliche Hand",,1
2009,"D",183,"09205","Dachslern",92,"092","Altstetten",9,"9","Kreis 9",3,"3","Übrige private Gesellschaften",,11
2009,"D",183,"09205","Dachslern",92,"092","Altstetten",9,"9","Kreis 9",4,"4","Natürliche Personen",,5
2009,"D",185,"09207","Werdhölzli",92,"092","Altstetten",9,"9","Kreis 9",1,"1","Öffentliche Hand",0,
2009,"D",186,"09208","Hardhof",92,"092","Altstetten",9,"9","Kreis 9",1,"1","Öffentliche Hand",,
2009,"D",187,"09209","Altstetterplatz",92,"092","Altstetten",9,"9","Kreis 9",3,"3","Übrige private Gesellschaften",15,
2009,"D",191,"09213","Edelweiss",92,"092","Altstetten",9,"9","Kreis 9",3,"3","Übrige private Gesellschaften",,50
2009,"D",194,"09216","Grünaustrasse",92,"092","Altstetten",9,"9","Kreis 9",3,"3","Übrige private Gesellschaften",0,
2009,"D",197,"10101","Riedhof",101,"101","Höngg",10,"10","Kreis 10",1,"1","Öffentliche Hand",,
2009,"D",197,"10101","Riedhof",101,"101","Höngg",10,"10","Kreis 10",3,"3","Übrige private Gesellschaften",,8
2009,"D",197,"10101","Riedhof",101,"101","Höngg",10,"10","Kreis 10",5,"5","Im Stockwerkeigentum",37,
2009,"D",198,"10102","Hönggerberg",101,"101","Höngg",10,"10","Kreis 10",2,"2","Wohnbaugenossenschaften",8,6
2009,"D",198,"10102","Hönggerberg",101,"101","Höngg",10,"10","Kreis 10",5,"5","Im Stockwerkeigentum",9,
2009,"D",199,"10103","Imbisbühlstrasse",101,"101","Höngg",10,"10","Kreis 10",3,"3","Übrige private Gesellschaften",46,2
2009,"D",199,"10103","Imbisbühlstrasse",101,"101","Höngg",10,"10","Kreis 10",5,"5","Im Stockwerkeigentum",4,
2009,"D",200,"10104","Werdinsel",101,"101","Höngg",10,"10","Kreis 10",4,"4","Natürliche Personen",3,
2009,"D",201,"10105","ETH Hönggerberg",101,"101","Höngg",10,"10","Kreis 10",1,"1","Öffentliche Hand",0,
2009,"D",203,"10107","Grossmannstrasse",101,"101","Höngg",10,"10","Kreis 10",5,"5","Im Stockwerkeigentum",3,
2009,"D",204,"10108","Waidbad",101,"101","Höngg",10,"10","Kreis 10",4,"4","Natürliche Personen",4,2
2009,"D",205,"10109","Rütihof",101,"101","Höngg",10,"10","Kreis 10",3,"3","Übrige private Gesellschaften",0,
2009,"D",206,"10110","Gsteigstrasse",101,"101","Höngg",10,"10","Kreis 10",4,"4","Natürliche Personen",,1
2009,"D",210,"10203","Zschokkestrasse",102,"102","Wipkingen",10,"10","Kreis 10",4,"4","Natürliche Personen",,1
2009,"D",210,"10203","Zschokkestrasse",102,"102","Wipkingen",10,"10","Kreis 10",5,"5","Im Stockwerkeigentum",4,
2009,"D",212,"10205","Röschibachstrasse",102,"102","Wipkingen",10,"10","Kreis 10",3,"3","Übrige private Gesellschaften",,6
2009,"D",212,"10205","Röschibachstrasse",102,"102","Wipkingen",10,"10","Kreis 10",4,"4","Natürliche Personen",,6
2009,"D",217,"11101","Mühlacker",111,"111","Affoltern",11,"11","Kreis 11",1,"1","Öffentliche Hand",,
2009,"D",217,"11101","Mühlacker",111,"111","Affoltern",11,"11","Kreis 11",4,"4","Natürliche Personen",20,
2009,"D",217,"11101","Mühlacker",111,"111","Affoltern",11,"11","Kreis 11",5,"5","Im Stockwerkeigentum",86,
2009,"D",219,"11103","Zehntenhausplatz",111,"111","Affoltern",11,"11","Kreis 11",2,"2","Wohnbaugenossenschaften",,48
2009,"D",219,"11103","Zehntenhausplatz",111,"111","Affoltern",11,"11","Kreis 11",4,"4","Natürliche Personen",1,1
2009,"D",220,"11104","Lerchenberg",111,"111","Affoltern",11,"11","Kreis 11",1,"1","Öffentliche Hand",,
2009,"D",220,"11104","Lerchenberg",111,"111","Affoltern",11,"11","Kreis 11",4,"4","Natürliche Personen",,1
2009,"D",220,"11104","Lerchenberg",111,"111","Affoltern",11,"11","Kreis 11",5,"5","Im Stockwerkeigentum",24,
2009,"D",222,"11106","Hürst",111,"111","Affoltern",11,"11","Kreis 11",2,"2","Wohnbaugenossenschaften",,80
2009,"D",222,"11106","Hürst",111,"111","Affoltern",11,"11","Kreis 11",4,"4","Natürliche Personen",,1
2009,"D",223,"11107","Reckenholz",111,"111","Affoltern",11,"11","Kreis 11",3,"3","Übrige private Gesellschaften",21,
2009,"D",223,"11107","Reckenholz",111,"111","Affoltern",11,"11","Kreis 11",4,"4","Natürliche Personen",8,
2009,"D",223,"11107","Reckenholz",111,"111","Affoltern",11,"11","Kreis 11",5,"5","Im Stockwerkeigentum",11,
2009,"D",225,"11501","Neu-Oerlikon",115,"115","Oerlikon",11,"11","Kreis 11",3,"3","Übrige private Gesellschaften",0,
2009,"D",225,"11501","Neu-Oerlikon",115,"115","Oerlikon",11,"11","Kreis 11",4,"4","Natürliche Personen",,3
2009,"D",227,"11503","Albin Zollinger-Platz",115,"115","Oerlikon",11,"11","Kreis 11",4,"4","Natürliche Personen",,
2009,"D",228,"11504","Marktplatz Oerlikon",115,"115","Oerlikon",11,"11","Kreis 11",4,"4","Natürliche Personen",,1
2009,"D",231,"11507","Magdalenenstrasse",115,"115","Oerlikon",11,"11","Kreis 11",4,"4","Natürliche Personen",,
2009,"D",231,"11507","Magdalenenstrasse",115,"115","Oerlikon",11,"11","Kreis 11",5,"5","Im Stockwerkeigentum",10,
2009,"D",236,"11901","Köschenrüti",119,"119","Seebach",11,"11","Kreis 11",4,"4","Natürliche Personen",,2
2009,"D",237,"11902","Schwandenholz",119,"119","Seebach",11,"11","Kreis 11",2,"2","Wohnbaugenossenschaften",,53
2009,"D",239,"11904","Höhenring",119,"119","Seebach",11,"11","Kreis 11",2,"2","Wohnbaugenossenschaften",,59
2009,"D",239,"11904","Höhenring",119,"119","Seebach",11,"11","Kreis 11",4,"4","Natürliche Personen",,1
2009,"D",239,"11904","Höhenring",119,"119","Seebach",11,"11","Kreis 11",5,"5","Im Stockwerkeigentum",136,
2009,"D",241,"11906","Eichrain",119,"119","Seebach",11,"11","Kreis 11",1,"1","Öffentliche Hand",,
2009,"D",241,"11906","Eichrain",119,"119","Seebach",11,"11","Kreis 11",2,"2","Wohnbaugenossenschaften",,72
2009,"D",241,"11906","Eichrain",119,"119","Seebach",11,"11","Kreis 11",5,"5","Im Stockwerkeigentum",9,
2009,"D",244,"11909","Leutschenbach",119,"119","Seebach",11,"11","Kreis 11",3,"3","Übrige private Gesellschaften",0,3
2009,"D",244,"11909","Leutschenbach",119,"119","Seebach",11,"11","Kreis 11",4,"4","Natürliche Personen",,
2009,"D",244,"11909","Leutschenbach",119,"119","Seebach",11,"11","Kreis 11",5,"5","Im Stockwerkeigentum",20,
2009,"D",248,"12102","Dreispitz",121,"121","Saatlen",12,"12","Kreis 12",2,"2","Wohnbaugenossenschaften",48,
2009,"D",251,"12201","Tulpenstrasse",122,"122","Schwamendingen-Mitte",12,"12","Kreis 12",5,"5","Im Stockwerkeigentum",51,
2009,"D",253,"12203","Auhof",122,"122","Schwamendingen-Mitte",12,"12","Kreis 12",1,"1","Öffentliche Hand",,
2009,"D",258,"12302","Hirzenbachstrasse",123,"123","Hirzenbach",12,"12","Kreis 12",1,"1","Öffentliche Hand",55,
2009,"D",260,"12304","Probsteistrasse",123,"123","Hirzenbach",12,"12","Kreis 12",4,"4","Natürliche Personen",,2
2009,"D",260,"12304","Probsteistrasse",123,"123","Hirzenbach",12,"12","Kreis 12",5,"5","Im Stockwerkeigentum",7,
2010,"D",2,"01102","Prediger",11,"011","Rathaus",1,"1","Kreis 1",4,"4","Natürliche Personen",,
2010,"D",4,"01104","Oberdorf",11,"011","Rathaus",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",,
2010,"D",8,"01203","Bellevue",12,"012","Hochschulen",1,"1","Kreis 1",4,"4","Natürliche Personen",4,
2010,"D",11,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1",4,"4","Natürliche Personen",,
