"StichtagDatJahr","DatenstandCd","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl3Sort_noDM","EigentuemerSSZPubl3Cd_noDM","EigentuemerSSZPubl3Lang_noDM","GebaeudeMitWohnungSort_noDM","GebaeudeMitWohnungCd_noDM","GebaeudeMitWohnungLang_noDM","AnzGbd","AnzWhgStat","Wohnflaeche","AnzBestWir"
2008,"D",15,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",23,0,0,0
2008,"D",15,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",3,7,634,15
2008,"D",15,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",72,0,0,6
2008,"D",15,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",14,18,1651,18
2008,"D",16,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",19,0,0,0
2008,"D",16,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",3,10,787,30
2008,"D",16,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",92,0,0,17
2008,"D",16,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",41,87,6802,104
2008,"D",17,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",14,0,0,69
2008,"D",17,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",5,73,9925,211
2008,"D",17,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",21,0,0,13
2008,"D",17,"01403","Selnaustrasse",14,"014","City",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",33,219,16441,282
2008,"D",18,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",0,"0","Nein",4,0,0,0
2008,"D",18,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1",1,"1","städtisch/genossenschaftlich",1,"1","Ja",1,1,95,4
2008,"D",18,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1",3,"2","andere",0,"0","Nein",53,0,0,39
2008,"D",18,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1",3,"2","andere",1,"1","Ja",19,36,3382,35
2008,"D",21,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",12,0,0,0
2008,"D",21,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",54,0,0,63
2008,"D",21,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",39,247,19245,335
2008,"D",22,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",12,0,0,0
2008,"D",22,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",14,99,9472,200
2008,"D",22,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",83,0,0,33
2008,"D",22,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",235,1495,122367,2305
2008,"D",23,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",37,0,0,0
2008,"D",23,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",90,512,36943,1073
2008,"D",23,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",40,0,0,2
2008,"D",23,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",93,402,32389,732
2008,"D",24,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",6,0,0,0
2008,"D",24,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",62,184,15591,395
2008,"D",24,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",22,0,0,0
2008,"D",24,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",111,437,37812,764
2008,"D",25,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",3,0,0,0
2008,"D",25,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",1,1,51,4
2008,"D",25,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",61,0,0,0
2008,"D",25,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",13,40,2548,69
2008,"D",26,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",28,0,0,2
2008,"D",26,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",9,19,2028,34
2008,"D",26,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",20,0,0,2
2008,"D",26,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",21,85,8399,129
2008,"D",27,"02107","Auf der Egg",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",25,0,0,0
2008,"D",27,"02107","Auf der Egg",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",54,224,16684,464
